,Unnamed: 0,LO 34 SX,LO 35 SX,LO 40 SX,LO 26 SX,LO 26 SXC,LO 25 SX,LO 29 SHX,LO 43 SHX,LO 30 SHX,LO 26 SHX,LO 39 SHX
0,Cell size,1/3 C,2/3 C,2/3 thin D,D,D,Fat D,C,5/4 C,Thin D,D,F
1,Cell construction,Spiral,Spiral,Spiral,Spiral,Spiral,Spiral,Spiral,Spiral,Spiral,Spiral,Spiral
2,Nominal voltage,2.8 V,2.8 V,2.8 V,2.8 V,2.8 V,2.8 V,2.8 V,2.8 V,2.8 V,2.8 V,2.8 V
3,Nominal capacity,1.0 Ah,2.2 Ah,3.5 Ah,7.75 Ah,9.2 Ah,8.0 Ah,3.75 Ah,5.0 Ah,5.75 Ah,7.5 Ah,11.5 Ah
4,Max. continuous current,0.5 A,2.0 A,2.0 A,2.5 A,2.5 A,2.5 A,2.5 A,2.5 A,3.0 A,4.0 A,3.0 A
5,Max. pulse discharge rate,1.0 A,5.0 A,5.0 A,5.0 A,10.0 A,10.0 A,6.0 A,10.0 A,10.0 A,15.0 A,60.0 A
6,Max. outside diameter,25.6 mm,25.9 mm,28.95 mm,34.2 mm,34.2 mm,39.5 mm,25.6 mm,26.0 mm,29.1 mm,34.2 mm,31.9 mm
7,Max. height,20.45 mm,35.9 mm,42.29 mm,59.3 mm,59.3 mm,50.3 mm,50.4 mm,59.2 mm,59.9 mm,59.3 mm,100.3 mm
8,Typical weight,16 g,30 g,40 g,85 g,85 g,96 g,40 g,53 g,63 g,85 g,125 g
9,Operating temperature range,- 40 / + 70°C,- 60 / + 70°C,- 60 / + 70°C,- 60 / + 70°C,- 60 / + 70°C,- 60 / + 70°C,- 60 / + 70°C,- 60 / + 70°C,- 60 / + 70°C,- 60 / + 70°C,- 60 / + 70°C
