,Unnamed: 0,VL 34570 xlr,MP 144350 xlr,MP 174865 xlr,MP 176065 xlr,MP 174565 xtd,MP 176065 xtd
0,Form factor,Cylindrical D,Prismatic,Prismatic,Prismatic,Prismatic,Prismatic
1,Nominal voltage,3.65 V,3.65 V,3.65 V,3.65 V,3.65 V,3.65 V
2,Nominal capacity,5.4 Ah,2.6 Ah,5.3 Ah,6.8 Ah,4.0 Ah,5.6 Ah
3,Max. continuous discharge current,11.0 A,5.0 A,10.0 A,14.0 A,8.0 A,11.0 A
4,Max. pulse discharge rate,21.0 A,10.0 A,21.0 A,27.0 A,16.0 A,22.0 A
5,Max. charge current,5.4 A,2.6 A,5.0 A,6.8 A,4.0 A,5.6 A
6,Cycle life,>600,1100,950,1800,2700,2700
7,(Cycled to 70 % of the cells,"(100 % DoD,","(100 % DoD,","(100 % DoD,","(100 % DoD,","(100 % DoD,","(100 % DoD,"
8,original capacity),"C/2-C/2, + 20°C)",C-C/2 + 20°C),"C-C/2, + 20°C)","C-C/2, + 20°C)","C-C/2, + 25°C)","C-C/2, + 25°C)"
9,Typical weight,130 g,66 g,121 g,150 g,97 g,135 g
10,Discharge temperature range,- 35 / + 60°C,- 35 / + 60°C,- 35 / + 60°C,- 35 / + 60°C,- 40 / + 85°C,- 40 / + 85°C
11,Charge temperature range,- 30 / + 60°C,- 30 / + 60°C,- 30 / + 60°C,- 30 / + 60°C,- 30 / + 85°C,- 30 / + 85°C
