,Unnamed: 0,LS 14250,LS 14500,LS 17330,LS 17500,LS 26500,LS 33600,LSH 14 Light,LSH 14,LSH 20,LSH 20-HTS,LSH 20-150
0,Cell size,1/2 AA,AA,2/3 A,A,C,D,C,C,D,D,D
1,Cell construction,Bobbin,Bobbin,Bobbin,Bobbin,Bobbin,Bobbin,Spiral,Spiral,Spiral,Spiral,Spiral
2,Nominal voltage,3.6 V,3.6 V,3.6 V,3.6 V,3.6 V,3.6 V,3.6 V,3.6 V,3.6 V,3.6 V,3.6 V
3,Nominal capacity,1.2 Ah,2.6 Ah,2.1 Ah,3.6 Ah,7.7 Ah,17.0 Ah,3.6 Ah,5.8 Ah,13.0 Ah,11.0 Ah,14.0 Ah
4,Max. continuous current,35 mA,50 mA,25 mA,100 mA,150 mA,250 mA,1.3 A,1.3 A,1.8 A,1.0 A,300 mA
5,Max. pulse discharge rate,0.1 A,0.25 A,0.12 A,0.25 A,0.3 A,0.4 A,2.0 A,2.0 A,4.0 A,3.0 A,0.5 A
6,Max. outside diameter,14.55 mm,14.55 mm,16.5 mm,17.13 mm,26.0 mm,33.4 mm,26.0 mm,26.0 mm,33.4 mm,33.4 mm,32.05 mm
7,Max. height,25.15 mm,50.3 mm,33.4 mm,50.9 mm,50.4 mm,61.6 mm,50.4 mm,50.4 mm,61.6 mm,61.6 mm,61.7 mm
8,Typical weight,8.9 g,16.7 g,14.4 g,21.9 g,48 g,90 g,51 g,51 g,100 g,100 g,104.5 g
9,Operating temperature range,- 60 / + 85°C,- 60 / + 85°C,- 60 / + 85°C,- 60 / + 85°C,- 60 / + 85°C,- 60 / + 85°C,- 60 / + 85°C,- 60 / + 85°C,- 60 / + 85°C,- 60 / + 85°C,- 40 / + 150°C
